Week,eLearning,DataScience,MachineLearning,ArtificialIntelligence,DeepLearning
20/09/2015,32,9,11,11,4
27/09/2015,35,10,11,11,4
4/10/2015,38,10,12,11,4
11/10/2015,37,9,12,10,4
18/10/2015,38,9,12,10,4
25/10/2015,38,10,12,11,4
1/11/2015,37,9,13,11,3
8/11/2015,35,8,14,12,5
15/11/2015,35,9,13,12,4
22/11/2015,31,8,12,10,4
29/11/2015,35,9,13,11,4
6/12/2015,33,9,13,12,5
13/12/2015,30,9,14,11,5
20/12/2015,17,7,11,9,4
27/12/2015,17,7,10,9,3
3/01/2016,24,10,12,14,4
10/01/2016,26,9,12,12,4
17/01/2016,26,11,13,11,6
24/01/2016,28,11,15,12,7
31/01/2016,28,11,14,11,6
7/02/2016,28,10,13,11,5
14/02/2016,30,10,13,10,5
21/02/2016,30,10,14,12,5
28/02/2016,30,10,13,11,5
6/03/2016,30,10,15,13,7
13/03/2016,27,10,15,13,8
20/03/2016,27,9,14,12,6
27/03/2016,29,9,14,12,6
3/04/2016,29,10,15,12,7
10/04/2016,29,10,14,11,6
17/04/2016,29,10,15,12,6
24/04/2016,28,10,14,12,6
1/05/2016,26,9,14,12,6
8/05/2016,28,11,15,12,6
15/05/2016,27,10,15,13,7
22/05/2016,27,10,16,12,6
29/05/2016,25,10,14,11,6
5/06/2016,25,11,15,11,7
12/06/2016,25,10,16,10,6
19/06/2016,21,10,16,10,7
26/06/2016,20,10,15,10,7
3/07/2016,17,9,14,10,6
10/07/2016,19,10,14,9,6
17/07/2016,18,10,15,9,6
24/07/2016,17,9,14,9,6
31/07/2016,18,11,15,9,6
7/08/2016,16,10,15,9,6
14/08/2016,15,10,12,8,5
21/08/2016,19,12,16,10,6
28/08/2016,21,13,15,10,7
4/09/2016,26,13,16,11,6
11/09/2016,29,14,17,11,7
18/09/2016,32,14,19,12,6
25/09/2016,33,13,18,12,8
2/10/2016,36,12,17,13,8
9/10/2016,38,12,18,16,8
16/10/2016,36,13,20,14,8
23/10/2016,35,13,19,14,8
30/10/2016,34,13,20,14,8
6/11/2016,32,13,18,14,8
13/11/2016,30,13,21,14,9
20/11/2016,28,12,21,14,9
27/11/2016,30,14,22,15,9
4/12/2016,30,13,22,16,10
11/12/2016,28,14,21,15,9
18/12/2016,22,11,20,13,9
25/12/2016,17,10,15,12,7
1/01/2017,21,13,20,14,9
8/01/2017,29,15,23,15,10
15/01/2017,26,15,23,14,10
22/01/2017,25,15,23,15,10
29/01/2017,25,16,23,14,10
5/02/2017,28,16,23,15,10
12/02/2017,27,15,25,15,11
19/02/2017,29,16,24,16,11
26/02/2017,31,17,27,15,11
5/03/2017,30,16,26,16,11
12/03/2017,29,16,26,17,12
19/03/2017,31,16,25,15,11
26/03/2017,32,16,28,17,11
2/04/2017,30,17,27,17,12
9/04/2017,28,15,26,16,11
16/04/2017,26,16,26,16,12
23/04/2017,30,16,27,18,12
30/04/2017,28,15,27,17,11
7/05/2017,26,17,27,16,12
14/05/2017,26,16,29,18,12
21/05/2017,24,17,29,18,12
28/05/2017,25,16,27,15,11
4/06/2017,25,15,29,14,11
11/06/2017,24,16,28,15,11
18/06/2017,20,16,28,14,11
25/06/2017,19,16,28,15,12
2/07/2017,21,15,27,14,11
9/07/2017,19,16,29,15,12
16/07/2017,18,16,28,16,13
23/07/2017,17,17,28,18,12
30/07/2017,16,17,29,23,12
6/08/2017,15,17,27,18,13
13/08/2017,15,16,28,17,13
20/08/2017,18,18,27,17,12
27/08/2017,19,18,28,17,12
3/09/2017,24,19,30,23,13
10/09/2017,27,20,31,21,13
17/09/2017,32,20,32,20,14
24/09/2017,34,20,31,20,13
1/10/2017,35,19,33,20,13
8/10/2017,35,20,34,22,13
15/10/2017,36,20,32,21,14
22/10/2017,34,20,35,26,13
29/10/2017,33,21,35,24,14
5/11/2017,33,21,37,25,14
12/11/2017,31,20,35,24,15
19/11/2017,29,17,33,22,14
26/11/2017,29,19,35,25,15
3/12/2017,30,20,36,25,15
10/12/2017,30,20,37,23,15
17/12/2017,24,17,32,19,14
24/12/2017,16,14,26,17,12
31/12/2017,18,19,30,20,13
7/01/2018,29,22,32,21,15
14/01/2018,27,21,34,30,14
21/01/2018,27,21,34,29,14
28/01/2018,26,22,36,27,16
4/02/2018,27,20,35,24,15
11/02/2018,27,21,34,24,13
18/02/2018,30,21,35,24,14
25/02/2018,33,21,36,24,14
4/03/2018,34,22,37,23,14
11/03/2018,34,22,36,24,14
18/03/2018,37,23,37,23,15
25/03/2018,36,22,36,21,14
1/04/2018,30,22,36,21,14
8/04/2018,33,23,36,23,15
15/04/2018,32,21,36,24,15
22/04/2018,33,22,37,23,15
29/04/2018,31,22,35,22,14
6/05/2018,31,21,37,25,15
13/05/2018,32,22,37,23,15
20/05/2018,30,23,37,22,14
27/05/2018,29,22,34,21,14
3/06/2018,30,23,37,21,14
10/06/2018,25,21,36,19,14
17/06/2018,24,21,36,17,14
24/06/2018,24,21,35,19,14
1/07/2018,24,20,34,18,13
8/07/2018,21,23,36,19,14
15/07/2018,21,23,36,19,14
22/07/2018,18,22,36,20,13
29/07/2018,17,23,36,20,14
5/08/2018,18,23,37,20,13
12/08/2018,17,22,36,19,12
19/08/2018,19,24,37,18,14
26/08/2018,23,26,38,20,14
2/09/2018,28,27,37,21,14
9/09/2018,34,25,38,22,14
16/09/2018,39,25,40,22,15
23/09/2018,38,25,39,23,15
30/09/2018,44,26,39,21,15
7/10/2018,43,26,39,22,15
14/10/2018,45,26,39,23,15
21/10/2018,42,26,40,24,15
28/10/2018,39,24,39,23,15
4/11/2018,37,24,36,21,15
11/11/2018,41,26,39,25,15
18/11/2018,35,23,37,22,14
25/11/2018,38,26,41,24,15
2/12/2018,38,26,42,24,16
9/12/2018,35,26,40,22,15
16/12/2018,30,23,37,23,13
23/12/2018,19,19,28,17,10
30/12/2018,20,22,31,18,11
6/01/2019,30,29,37,22,14
13/01/2019,31,29,37,24,15
20/01/2019,30,28,39,22,15
27/01/2019,29,28,40,23,15
3/02/2019,29,29,41,23,15
10/02/2019,32,28,40,24,15
17/02/2019,35,30,42,25,15
24/02/2019,38,29,41,23,15
3/03/2019,36,28,42,23,15
10/03/2019,39,27,40,23,15
17/03/2019,41,28,41,23,14
24/03/2019,38,30,41,24,16
31/03/2019,41,29,41,23,15
7/04/2019,38,28,41,23,16
14/04/2019,36,27,37,21,14
21/04/2019,36,27,39,23,15
28/04/2019,36,27,39,24,14
5/05/2019,36,28,41,23,14
12/05/2019,37,29,41,24,15
19/05/2019,35,30,39,22,15
26/05/2019,32,29,38,21,14
2/06/2019,27,29,40,21,14
9/06/2019,27,30,42,22,15
16/06/2019,32,31,41,24,15
23/06/2019,28,30,41,22,15
30/06/2019,32,29,40,21,14
7/07/2019,27,31,40,22,15
14/07/2019,23,31,41,23,15
21/07/2019,22,31,40,22,14
28/07/2019,20,31,39,22,13
4/08/2019,20,30,38,21,14
11/08/2019,19,31,39,21,14
18/08/2019,26,35,43,22,14
25/08/2019,27,37,43,22,14
1/09/2019,33,34,40,22,15
8/09/2019,42,36,44,25,15
15/09/2019,44,37,45,25,15
22/09/2019,45,35,46,26,15
29/09/2019,55,34,43,23,15
6/10/2019,53,34,43,24,15
13/10/2019,55,34,44,24,15
20/10/2019,52,32,42,23,14
27/10/2019,48,31,39,22,14
3/11/2019,49,34,44,25,14
10/11/2019,47,33,43,24,15
17/11/2019,46,34,45,27,15
24/11/2019,42,30,41,24,15
1/12/2019,43,34,43,24,14
8/12/2019,43,32,44,25,15
15/12/2019,38,32,42,22,15
22/12/2019,24,26,33,17,11
29/12/2019,23,29,33,19,12
5/01/2020,38,35,42,25,15
12/01/2020,34,35,42,25,15
19/01/2020,31,36,44,24,14
26/01/2020,30,35,43,24,14
2/02/2020,34,36,44,24,15
9/02/2020,37,38,44,25,16
16/02/2020,43,38,46,26,16
23/02/2020,42,38,46,26,16
1/03/2020,48,37,44,25,15
8/03/2020,57,34,39,23,14
15/03/2020,98,29,34,19,12
22/03/2020,100,28,33,19,12
29/03/2020,97,30,35,19,13
5/04/2020,100,32,38,21,13
12/04/2020,94,34,41,22,14
19/04/2020,98,32,41,21,15
26/04/2020,86,33,41,20,15
3/05/2020,86,31,41,22,15
10/05/2020,83,33,40,22,15
17/05/2020,66,33,40,21,15
24/05/2020,57,32,40,20,15
31/05/2020,65,33,41,21,14
7/06/2020,69,33,41,20,15
14/06/2020,61,33,40,21,15
21/06/2020,61,34,41,20,14
28/06/2020,59,35,38,20,14
5/07/2020,55,35,39,19,14
12/07/2020,58,36,40,21,15
19/07/2020,55,36,40,21,14
26/07/2020,43,34,39,20,14
2/08/2020,44,34,37,20,13
9/08/2020,44,35,38,21,13
16/08/2020,41,36,40,22,14
23/08/2020,49,39,40,21,14
30/08/2020,62,37,40,21,14
6/09/2020,74,38,42,24,14
13/09/2020,80,39,39,21,14
